PARMA ID,Branch ID,Organization Name,Branch Name,Region,Country,Sales 2025,Sales 2026,Currency,Segment
P731204,B731-001,Nordic Equipment Group,Nordic Equipment Group Stockholm Branch 1,Europe North,Sweden,250000,280000,EUR,Construction
P184920,B184-001,Fjord Machines Group,Fjord Machines Group Bergen Branch 1,Europe North,Norway,251175,281290,EUR,Mining
P642118,B642-001,Bau Technik Holdings,Bau Technik Holdings Hamburg Branch 1,Europe Central,Germany,252350,282580,EUR,Rental
P295731,B295-001,Pieces Service Group,Pieces Service Group Lyon Branch 1,Europe Central,France,253525,283870,EUR,Roads
P807443,B807-001,Great Lakes Rental,Great Lakes Rental Chicago Branch 1,North America,United States,254700,285160,USD,Construction
P516082,B516-001,Britannia Plant Services,Britannia Plant Services Bristol Branch 1,Europe North,United Kingdom,255875,286450,EUR,Mining
P409675,B409-001,Delta Connected Services,Delta Connected Services Rotterdam Branch 1,Europe North,Netherlands,257050,287740,EUR,Rental
P920114,B920-001,Iberia Dealer Network,Iberia Dealer Network Madrid Branch 1,Europe Central,Spain,258225,289030,EUR,Roads
P358706,B358-001,Alpina Support Group,Alpina Support Group Milano Branch 1,Europe Central,Italy,259400,290320,EUR,Construction
P674219,B674-001,Brasil Accounts Group,Brasil Accounts Group Curitiba Branch 1,Latin America,Brazil,260575,291610,USD,Mining
P247806,B247-001,Baltic Field Services,Baltic Field Services Uppsala Branch 1,Europe Central,Estonia,261750,292900,EUR,Rental
P803162,B803-001,Maple Heavy Equipment,Maple Heavy Equipment Oslo Branch 1,North America,Canada,262925,294190,EUR,Roads
P469350,B469-001,Pacific Site Solutions,Pacific Site Solutions Munich Branch 1,Oceania,Australia,264100,295480,EUR,Construction
P582941,B582-001,Andes Construction Partners,Andes Construction Partners Nantes Branch 1,Latin America,Chile,265275,296770,EUR,Mining
P390526,B390-001,Sakura Machine Works,Sakura Machine Works Detroit Branch 1,Asia Pacific,Japan,266450,298060,EUR,Rental
P718634,B718-001,Atlas Earthmoving,Atlas Earthmoving Leeds Branch 1,Africa,South Africa,267625,299350,EUR,Roads
P235497,B235-001,Vistula Equipment,Vistula Equipment Eindhoven Branch 1,Europe Central,Poland,268800,300640,EUR,Construction
P849205,B849-001,Douro Plant Hire,Douro Plant Hire Valencia Branch 1,Europe Central,Portugal,269975,301930,EUR,Mining
P604738,B604-001,Anatolia Dealer Services,Anatolia Dealer Services Turin Branch 1,Europe Central,Turkey,271150,303220,EUR,Rental
P976051,B976-001,Han River Machinery,Han River Machinery Recife Branch 1,Asia Pacific,South Korea,272325,304510,EUR,Roads
P731204,B731-002,Nordic Equipment Group,Nordic Equipment Group Tallinn Branch 2,Europe North,Sweden,273500,305800,EUR,Construction
P184920,B184-002,Fjord Machines Group,Fjord Machines Group Toronto Branch 2,Europe North,Norway,274675,307090,EUR,Mining
P642118,B642-002,Bau Technik Holdings,Bau Technik Holdings Sydney Branch 2,Europe Central,Germany,275850,308380,EUR,Rental
P295731,B295-002,Pieces Service Group,Pieces Service Group Santiago Branch 2,Europe Central,France,277025,309670,EUR,Roads
P807443,B807-002,Great Lakes Rental,Great Lakes Rental Osaka Branch 2,North America,United States,278200,310960,USD,Construction
P516082,B516-002,Britannia Plant Services,Britannia Plant Services Cape Town Branch 2,Europe North,United Kingdom,279375,312250,EUR,Mining
P409675,B409-002,Delta Connected Services,Delta Connected Services Warsaw Branch 2,Europe North,Netherlands,280550,313540,EUR,Rental
P920114,B920-002,Iberia Dealer Network,Iberia Dealer Network Porto Branch 2,Europe Central,Spain,281725,314830,EUR,Roads
P358706,B358-002,Alpina Support Group,Alpina Support Group Ankara Branch 2,Europe Central,Italy,282900,316120,EUR,Construction
P674219,B674-002,Brasil Accounts Group,Brasil Accounts Group Busan Branch 2,Latin America,Brazil,284075,317410,USD,Mining
P247806,B247-002,Baltic Field Services,Baltic Field Services Stockholm Branch 2,Europe Central,Estonia,285250,318700,EUR,Rental
P803162,B803-002,Maple Heavy Equipment,Maple Heavy Equipment Bergen Branch 2,North America,Canada,286425,319990,EUR,Roads
P469350,B469-002,Pacific Site Solutions,Pacific Site Solutions Hamburg Branch 2,Oceania,Australia,287600,321280,EUR,Construction
P582941,B582-002,Andes Construction Partners,Andes Construction Partners Lyon Branch 2,Latin America,Chile,288775,322570,EUR,Mining
P390526,B390-002,Sakura Machine Works,Sakura Machine Works Chicago Branch 2,Asia Pacific,Japan,289950,323860,EUR,Rental
P718634,B718-002,Atlas Earthmoving,Atlas Earthmoving Bristol Branch 2,Africa,South Africa,291125,325150,EUR,Roads
P235497,B235-002,Vistula Equipment,Vistula Equipment Rotterdam Branch 2,Europe Central,Poland,292300,326440,EUR,Construction
P849205,B849-002,Douro Plant Hire,Douro Plant Hire Madrid Branch 2,Europe Central,Portugal,293475,327730,EUR,Mining
P604738,B604-002,Anatolia Dealer Services,Anatolia Dealer Services Milano Branch 2,Europe Central,Turkey,294650,329020,EUR,Rental
P976051,B976-002,Han River Machinery,Han River Machinery Curitiba Branch 2,Asia Pacific,South Korea,295825,330310,EUR,Roads
P731204,B731-003,Nordic Equipment Group,Nordic Equipment Group Uppsala Branch 3,Europe North,Sweden,297000,331600,EUR,Construction
P184920,B184-003,Fjord Machines Group,Fjord Machines Group Oslo Branch 3,Europe North,Norway,298175,332890,EUR,Mining
P642118,B642-003,Bau Technik Holdings,Bau Technik Holdings Munich Branch 3,Europe Central,Germany,299350,334180,EUR,Rental
